Property,Owner / Operator,Type,Rent pw,Rent pcm,Rent pa,Weeks,Area sqm,Area sqft,£psf pa,Address,url
iQ Altus House,iQ Student Accommodation,Platinum En Suite Plus,189.0,803.25,9639,51,,,,"Altus House, Tower House Street, Leeds, LS2 8GH",https://www.mystudenthalls.com/student-accommodation/leeds/iq-altus-house/
iQ Altus House,iQ Student Accommodation,Platinum En Suite Premium,193.0,820.25,9843,51,,,,"Altus House, Tower House Street, Leeds, LS2 8GH",https://www.mystudenthalls.com/student-accommodation/leeds/iq-altus-house/
iQ Altus House,iQ Student Accommodation,Platinum Studio,273.0,1160.25,13923,51,,,,"Altus House, Tower House Street, Leeds, LS2 8GH",https://www.mystudenthalls.com/student-accommodation/leeds/iq-altus-house/
iQ Altus House,iQ Student Accommodation,Silver En Suite,173.0,735.25,8823,51,,,,"Altus House, Tower House Street, Leeds, LS2 8GH",https://www.mystudenthalls.com/student-accommodation/leeds/iq-altus-house/
iQ Altus House,iQ Student Accommodation,Silver Studio,263.0,1117.75,13413,51,,,,"Altus House, Tower House Street, Leeds, LS2 8GH",https://www.mystudenthalls.com/student-accommodation/leeds/iq-altus-house/
iQ Leeds,iQ Student Accommodation,Bronze En Suite,149.0,546.33,6556,44,,,,"Cross Chancellor Street, Leeds, LS6 2TL",https://www.mystudenthalls.com/student-accommodation/leeds/iq-leeds/
iQ Leeds,iQ Student Accommodation,Bronze Studio,194.0,711.33,8536,44,,,,"Cross Chancellor Street, Leeds, LS6 2TL",https://www.mystudenthalls.com/student-accommodation/leeds/iq-leeds/
iQ Leeds,iQ Student Accommodation,Gold En Suite,148.0,542.67,6512,44,,,,"Cross Chancellor Street, Leeds, LS6 2TL",https://www.mystudenthalls.com/student-accommodation/leeds/iq-leeds/
iQ Leeds,iQ Student Accommodation,Gold Studio,215.0,788.33,9460,44,,,,"Cross Chancellor Street, Leeds, LS6 2TL",https://www.mystudenthalls.com/student-accommodation/leeds/iq-leeds/
iQ Leeds,iQ Student Accommodation,Platinum En Suite,157.0,575.67,6908,44,,,,"Cross Chancellor Street, Leeds, LS6 2TL",https://www.mystudenthalls.com/student-accommodation/leeds/iq-leeds/
iQ Leeds,iQ Student Accommodation,Silver En Suite,142.0,520.67,6248,44,,,,"Cross Chancellor Street, Leeds, LS6 2TL",https://www.mystudenthalls.com/student-accommodation/leeds/iq-leeds/
iQ Leeds,iQ Student Accommodation,Silver Studio,200.0,733.33,8800,44,,,,"Cross Chancellor Street, Leeds, LS6 2TL",https://www.mystudenthalls.com/student-accommodation/leeds/iq-leeds/
iQ Leeds,iQ Student Accommodation,2 Bed Apartment,182.0,773.5,9282,51,,,,"Cross Chancellor Street, Leeds, LS6 2TL",https://www.mystudenthalls.com/student-accommodation/leeds/iq-leeds/
iQ Leeds,iQ Student Accommodation,Bronze Studio Plus,198.0,841.5,10098,51,,,,"Cross Chancellor Street, Leeds, LS6 2TL",https://www.mystudenthalls.com/student-accommodation/leeds/iq-leeds/
iQ Leeds,iQ Student Accommodation,Gold Studio Plus,236.0,1003.0,12036,51,,,,"Cross Chancellor Street, Leeds, LS6 2TL",https://www.mystudenthalls.com/student-accommodation/leeds/iq-leeds/
iQ Leeds,iQ Student Accommodation,Silver Studio Plus,210.0,892.5,10710,51,,,,"Cross Chancellor Street, Leeds, LS6 2TL",https://www.mystudenthalls.com/student-accommodation/leeds/iq-leeds/
Vita Student Leeds,Vita Student,Classic Studio,240.0,880.0,10560,44,,,,"St Albans Place, Cross Belgrave Street, Leeds, LS2 8JP",https://www.mystudenthalls.com/student-accommodation/leeds/vita-student-leeds/
Vita Student Leeds,Vita Student,Classic Plus Studio,247.0,905.67,10868,44,,,,"St Albans Place, Cross Belgrave Street, Leeds, LS2 8JP",https://www.mystudenthalls.com/student-accommodation/leeds/vita-student-leeds/
Vita Student Leeds,Vita Student,Premium Plus Studio,274.0,1004.67,12056,44,,,,"St Albans Place, Cross Belgrave Street, Leeds, LS2 8JP",https://www.mystudenthalls.com/student-accommodation/leeds/vita-student-leeds/
Vita Student Leeds,Vita Student,Premium Studio,272.0,997.33,11968,44,,,,"St Albans Place, Cross Belgrave Street, Leeds, LS2 8JP",https://www.mystudenthalls.com/student-accommodation/leeds/vita-student-leeds/
Vita Student Leeds,Vita Student,Deluxe Studio,310.0,1136.67,13640,44,,,,"St Albans Place, Cross Belgrave Street, Leeds, LS2 8JP",https://www.mystudenthalls.com/student-accommodation/leeds/vita-student-leeds/
Vita Student Leeds,Vita Student,Ultimate Vita Studio,321.0,1177.0,14124,44,,,,"St Albans Place, Cross Belgrave Street, Leeds, LS2 8JP",https://www.mystudenthalls.com/student-accommodation/leeds/vita-student-leeds/
The Foundry,Abodus Student Living,Standard En-suite,153.0,650.25,7803,51,,,,"The Foundry, Cavendish Street, Leeds, LS3 IBN",https://www.mystudenthalls.com/student-accommodation/leeds/the-foundry-2/
The Foundry,Abodus Student Living,Standard En-suite,163.0,597.67,7172,44,,,,"The Foundry, Cavendish Street, Leeds, LS3 IBN",https://www.mystudenthalls.com/student-accommodation/leeds/the-foundry-2/
The Foundry,Abodus Student Living,Standard Plus En-Suite ,163.0,692.75,8313,51,,,,"The Foundry, Cavendish Street, Leeds, LS3 IBN",https://www.mystudenthalls.com/student-accommodation/leeds/the-foundry-2/
The Foundry,Abodus Student Living,Standard Plus En-Suite ,168.0,616.0,7392,44,,,,"The Foundry, Cavendish Street, Leeds, LS3 IBN",https://www.mystudenthalls.com/student-accommodation/leeds/the-foundry-2/
The Foundry,Abodus Student Living,Premium En-Suite ,168.0,714.0,8568,51,,,,"The Foundry, Cavendish Street, Leeds, LS3 IBN",https://www.mystudenthalls.com/student-accommodation/leeds/the-foundry-2/
The Foundry,Abodus Student Living,Premium En-Suite,173.0,634.33,7612,44,,,,"The Foundry, Cavendish Street, Leeds, LS3 IBN",https://www.mystudenthalls.com/student-accommodation/leeds/the-foundry-2/
The Foundry,Abodus Student Living,Deluxe En-suite,179.0,760.75,9129,51,,,,"The Foundry, Cavendish Street, Leeds, LS3 IBN",https://www.mystudenthalls.com/student-accommodation/leeds/the-foundry-2/
The Foundry,Abodus Student Living,Standard Studio,195.0,828.75,9945,51,,,,"The Foundry, Cavendish Street, Leeds, LS3 IBN",https://www.mystudenthalls.com/student-accommodation/leeds/the-foundry-2/
