Property,Owner / Operator,Type,Rent pw,Rent pcm,Rent pa,Weeks,Area sqm,Area sqft,£psf pa,Address,url
Burley Road,Campus Living Villages,Gold,144.49,614.08,7369,51,,,,"Burley Road, Burley Street, Leeds, LS3 1LN",https://www.mystudenthalls.com/student-accommodation/leeds/burley-road/
Burley Road,Campus Living Villages,Silver,120.49,512.08,6145,51,,,,"Burley Road, Burley Street, Leeds, LS3 1LN",https://www.mystudenthalls.com/student-accommodation/leeds/burley-road/
Burley Road,Campus Living Villages,Studio,185.0,786.25,9435,51,,,,"Burley Road, Burley Street, Leeds, LS3 1LN",https://www.mystudenthalls.com/student-accommodation/leeds/burley-road/
Lupton Residences,University of Leeds,Standard Room,96.0,336.0,4032,42,,,,"Lupton Residences, Alma Road, Leeds,  LS6 2PG",https://www.mystudenthalls.com/student-accommodation/leeds/lupton-residences/
Montague Burton,University of Leeds,Standard Room,116.0,406.0,4872,42,,,,"Montague Burton Residences, 23 Devon Road, Leeds,  LS2 9BA",https://www.mystudenthalls.com/student-accommodation/leeds/montague-burton/
St Marks Residences,University of Leeds,En-suite,139.0,590.75,7089,51,,,,"St Mark's Residence, St Mark's Street, Leeds, LS2 9EL",https://www.mystudenthalls.com/student-accommodation/leeds/st-marks-residences/
Leeds University Smaller Residences,University of Leeds,Houses/ Flats - Shared bathroom ,91.0,310.92,3731,41,,,,"Variable: See above, Leeds, LS6 2BZ",https://www.mystudenthalls.com/student-accommodation/leeds/leeds-university-smaller-residences/
Leeds University Smaller Residences,University of Leeds,Houses/ Flats - Ensuite,126.0,430.5,5166,41,,,,"Variable: See above, Leeds, LS6 2BZ",https://www.mystudenthalls.com/student-accommodation/leeds/leeds-university-smaller-residences/
Grayson Heights,University of Leeds on behalf of Unipol,Standard Shared Flat,101.0,429.25,5151,51,,,,"Grayson Heights, Eden Mount, Leeds, LS4 2UD",https://www.mystudenthalls.com/student-accommodation/leeds/grayson-heights/
Henry Price Building,Leeds University,Standard Room,119.0,416.5,4998,42,,,,"Henry Price Building, Clarendon Road, Leeds, LS2 9LG",https://www.mystudenthalls.com/student-accommodation/leeds/henry-price-building/
Henry Price Building,Leeds University,En-suite ,137.0,479.5,5754,42,,,,"Henry Price Building, Clarendon Road, Leeds, LS2 9LG",https://www.mystudenthalls.com/student-accommodation/leeds/henry-price-building/
St Mark’s Court,Hello Student,Prices available from,163.0,692.75,8313,51,,,,"St Marks Court, St Marks Road, Leeds, LS6 2QJ",https://www.mystudenthalls.com/student-accommodation/leeds/st-marks-court/
